Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Victim Category,Sources_1,Sources_2,Sources_3,Who_attributed,APT_Family
OilRig,1/5/2016,"Also known as Twisted Kitten and Crambus; possibly related to Magic Hound,??APT 34, and Chrysene.??Believed to use similar tools and infrastructure as Chafer","A threat actor believed to be Iran that targets private-sector and government entities for the purpose of espionage.??In October 2019, revealed to have been compromised by Turla. Some operations previously attributed to the group may be Turla false flags.",,"Israel, Turkey, Qatar, Kuwait, Saudi Arabia, Lebanon, United States",Iran (Islamic Republic of),Espionage,"Government, Private sector, Civil society",https://researchcenter.paloaltonetworks.com/2016/05/the-oilrig-campaign-attacks-on-saudi-arabian-organizations-deliver-helminth-backdoor/,https://www.gov.il/en/Departments/publications/reports/attack_il,https://www.forbes.com/sites/thomasbrewster/2017/02/15/oilrig-iran-hackers-cyberespionage-us-turkey-saudi-arabia/#381fa5df468a,"Palo Alto Networks, FireEye, NCSA, Secureworks, CrowdStrike",APT 34
Targeting of the Islamic State group,2/28/2016,"Believed to be associated with the United Kingdom???s cyber operations against the Islamic State, revealed in 2018.","The United States announced that it would conduct offensive cyber operations against the Islamic State with a view to disrupting its ability to recruit, communicate with, and exercise command and control over its fighters.",,The Islamic State Group,United States,Sabotage,Civil society,http://www.npr.org/templates/transcript/transcript.php?storyId=468446138,https://www.nytimes.com/2016/04/25/us/politics/us-directs-cyberweapons-at-isis-for-first-time.html,https://www.nytimes.com/2017/06/12/world/middleeast/isis-cyber.html,US government self admitted,
"A compromise causes a power outage in Kiev, Ukraine",12/20/2016,Used an evolution of the tools used by Sandworm.,"A threat actor compromised computer networks that control an electricity substation in the north of the Ukrainian capital, Kiev, causing a power outage. To accomplish its task, the threat actor used a tool known as CrashOverride.??",,Ukrenergo,Russian Federation,Sabotage,Private sector,http://www.reuters.com/article/us-ukraine-crisis-cyber-attacks-idUSKBN1491ZF,https://dragos.com/blog/crashoverride/CrashOverride-01.pdf,https://www.wired.com/story/russian-hackers-attack-ukraine," iSight Partners, F-Secure, Dragos, ESET",
Compromise of the World Anti-Doping Agency,9/13/2016,Believed to be the work of APT 28,"The World Anti-Doping Agency (WADA) confirmed in September 2016 that it had been compromised by suspected Russian threat actors in a data leak of confidential information about forty-one athletes who competed in the Rio Olympic Games. The data revealed drug-test results and medical data pertaining to ???therapeutic use exemptions,??? situations in which WADA allows athletes to take banned substances if their usage is deemed legitimate.

A group using the Fancy Bear moniker, the same term some security experts assign to a Russian state-sponsored threat actor, claimed responsibility for the compromise. Some commentators viewed the incident as Russian retaliation for a WADA report that detailed Moscow-sanctioned efforts to provide performance-enhancing drugs to Russian athletes during the 2014 Sochi Winter Olympics.

The United States, Australia, Canada, New Zealand, and the United Kingdom issued statements attributing the incident to Russian military intelligence. Separately, the United States issued an indictment against seven alleged Russian military intelligence officials involved in the incident.",Denouncement   https://www.wada-ama.org/en/media/news/2016-09/wada-confirms-attack-by-russian-cyber-espionage-group,World Anti-Doping Agency,Russian Federation,Misc Espionage,Civil society,https://www.wada-ama.org/en/media/news/2016-09/wada-confirms-attack-by-russian-cyber-espionage-group,https://www.threatconnect.com/blog/fancy-bear-anti-doping-agency-phishing/,https://www.theguardian.com/sport/2016/nov/25/fancy-bears-hack-again-with-attack-on-senior-anti-doping-officials,"ThreatConnect, Swiss intelligence, United States government, New Zealand government, NCSC, CSE, ACSC",APT 28
Spyware linked to Indonesia found in proxy servers in Australia,1/23/2016,Indonesia,"A threat actor used FinFisher, also known as FinSpy, to infect mobile phones and computers and place targets under surveillance. The threat actor, allegedly the Indonesian government, used a proxy server inside the Global Switch Sydney East data center in Ultimo, Australia, to obscure their identity.",,Australia,Indonesia,Civil Espionage,Civil society,https://www.zdnet.com/article/finfisher-spyware-linked-to-indonesian-government-found-in-sydney-report/,https://www.abc.net.au/news/2016-01-26/notorious-spyware-used-to-take-over-computers-found-in-sydney/7114734,,CitizenLab,FinFisher Gamma
Compromise of gaming companies,10/18/2016,Believed to be the work of??APT 17,"A threat actor uses a tool called PassCV to target video game companies, stealing digital certificates to use in cyber operations against other targets.",,"China, Taiwan, South Korea, United States, Russia",China,Espionage,Private sector,https://blog.cylance.com/digitally-signed-malware-targeting-gaming-companies,https://401trg.com/burning-umbrella/,,"Cylance, 401TRG",APT 17?
Yahoo breach (2014),9/22/2016,Same state sponsor as the 2016 breach,"A threat actor compromised over approximately five hundred million accounts, giving it access to the names, email addresses, telephone numbers, and dates of birth associated with the accounts. Yahoo discloses that the compromise took place in 2014.",,Yahoo,Unknown,Espionage,Private sector,https://investor.yahoo.net/releasedetail.cfm?releaseid=990570,https://www.theguardian.com/technology/2016/sep/22/yahoo-hack-data-state-sponsored,,N/A,
Spear-phishing campaign against Google accounts in 2015,6/26/2016,Believed to be the work of APT 28,"A threat actor conducted a spear-phishing campaign against more than 1,800 Google accounts, including those of military and government personnel, journalists, and nongovernmental organizations, for the purpose of espionage.",,"United States, European Union",Russian Federation,Espionage,"Government, Private sector, Civil society",https://www.secureworks.com/research/threat-group-4127-targets-google-accounts,,,Secureworks,APT28
Lazarus Group,2/1/2016,"Believed to be responsible for Dark Seoul, Ten Days of Rain, the Sony Pictures Entertainment attack,??the SWIFT-related bank heists,??WannaCry, and??Operation GhostSecret. Believed to use the same tools as Covellite.??Known to the U.S. government as Hidden Cobra.","This threat actor targets and compromises entities primarily in South Korea and South Korean interests for espionage, disruption, and destruction. It has also been known to conduct cyber operations for financial gain, including targeting cryptocurrency exchanges. In 2018, the U.S. Department of Homeland Security issued a malware analysis report on a tool called Typeframe used by the Lazarus Group.

In September 2018, the U.S. Department of Justice criminally charged and sanctioned Park Jin-hyok and Chosun Expo Joint Venture, alleged members of this threat actor.",Sanctions   https://fcw.com/articles/2019/09/13/dprk-cyber-sanctions-johnson.aspx,"South Korea, Sony Pictures Entertainment , United States, Bangladesh Bank",Korea (Democratic People's Republic of),Espionage,"Government, Private sector",https://www.operationblockbuster.com/wp-content/uploads/2016/02/Operation-Blockbuster-Report.pdf,https://securelist.com/blog/sas/77908/lazarus-under-the-hood/,https://www.us-cert.gov/ncas/alerts/TA17-164A,"Novetta, Kaspersky, BAE Systems, Anomali Threat Research, Symantec, DHS, FBI",
Shamoon 2.0,12/1/2016,Believed to have been partially the work of Chrysene,A threat actor used malware known as Shamoon 2.0 to exfiltrate and delete data from computers in the Saudi transportation sector.,,General Authority of Civil Aviation of Saudi Arabia,Unknown,Data destruction,Government,https://www.bloomberg.com/news/articles/2016-12-01/destructive-hacks-strike-saudi-arabia-posing-challenge-to-trump,https://www.fireeye.com/blog/threat-research/2016/11/fireeye_respondsto.html,https://securelist.com/blog/research/77725/from-shamoon-to-stonedrill/,N/A,APT 34
SWIFT-related bank heists,5/26/2016,Believed to be the work of Lazarus Group,"A threat actor targets the worldwide financial transfer mechanism known as SWIFT to steal funds from banks in Bangladesh, Vietnam, Ecuador, and Poland. This is the first instance in where a state-sponsored actor was discovered to have compromised networks for financial gain.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.",Criminal charges   https://www.justice.gov/opa/press-release/file/1092091/download,"Bangladesh Central Bank, Tien Phong Bank, Banco Del Austro, Poland",Korea (Democratic People's Republic of),Sabotage,Government,https://www.symantec.com/connect/blogs/swift-attackers-malware-linked-more-financial-attacks,https://www.nytimes.com/2016/05/27/business/dealbook/north-korea-linked-to-digital-thefts-from-global-banks.html?_r=0,https://www.symantec.com/connect/blogs/attackers-target-dozens-global-banks-new-malware,"Symantec, DoJ",Lazarus
Compromise of South Korean government computers (2016),12/6/2016,,"A threat actor compromised computers associated with the South Korean Ministry of National Defense.??In October 2017, South Korean officials confirmed that North Korea had exfiltrated over two hundred gigabytes of data from the defense ministry networks, including military plans the United States and South Korea would implement in the event of a war with North Korea.",Denouncement   http://english.yonhapnews.co.kr/news/2016/12/05/0200000000AEN20161205010451315.html,South Korea,Korea (Democratic People's Republic of),Military Espionage,Military,http://english.yonhapnews.co.kr/news/2016/12/05/0200000000AEN20161205010451315.html,https://www.wsj.com/articles/north-korea-suspected-of-hacking-u-s-south-korean-war-plans-1507636641,,South Korea's Defense Ministry,
Denial of service incident against media websites in Sweden,3/19/2016,,"A threat actor launched a denial of service attack on ten news websites in Sweden, triggering a local police investigation. U.S. diplomatic cables later revealed that the United States suspected that Russia was responsible for the incident.",,Sweden,Russian Federation,Denial of service,Private sector,https://web.archive.org/web/20161224075821/https://polisen.se/Aktuellt/Nyheter/2016/Jan-Mars/Mars/Inledd-forundersokning-med-anledning-av-it-attacker/,https://www.newsweek.com/major-cyber-attacks-false-propaganda-swedish-media-438881,https://www.buzzfeednews.com/article/kevincollier/2016-sweden-ddos-expressen-hack-russia-cables,US Intelligence,
Compromise of Ukrainian banks,12/13/2016,Believed to be the work of Sandworm.,A threat actor compromised Ukrainian banks.,,Ukraine,Russian Federation,Data destruction,Private sector,http://www.welivesecurity.com/2016/12/13/rise-telebots-analyzing-disruptive-killdisk-attacks/,http://www.theregister.co.uk/2016/12/15/ukraine_banks_apt,,ESET,BlackEnergy
Stealth Falcon,5/29/2016,,"This threat actor targets civil society groups and Emirati journalists, activists, and dissidents.",,"United Arab Emirates, United Kingdom",United Arab Emirates,Civil Espionage,Civil society,https://citizenlab.ca/2016/05/stealth-falcon/,,,CitizenLab,
Operation Mermaid,7/7/2016,,This threat actor is based in the Middle East (possibly Iran) and targets English- and Persian-language organizations. It is alleged to be the same group behind a compromise of the Danish Ministry of Foreign Affairs.,,"Ministry of Foreign Affairs, Iran,",Unknown,Political Espionage,Government,https://ti.360.com/upload/report/file/mryxdgkb20160707en.pdf,,,N/A,
Yahoo breach (2016),12/14/2016,Same state sponsor as the 2014 breach,"A threat actor exploited a vulnerability in Yahoo's account log-in process, allowing it to access user accounts without a password. Approximately thirty-two million accounts were affected.",Criminal charges   https://www.justice.gov/opa/pr/us-charges-russian-fsb-officers-and-their-criminal-conspirators-hacking-yahoo-and-millions,Yahoo,Russian Federation,Espionage,Private sector,https://investor.yahoo.net/releasedetail.cfm?ReleaseID=1004285,https://www.justice.gov/opa/pr/us-charges-russian-fsb-officers-and-their-criminal-conspirators-hacking-yahoo-and-millions,https://www.theregister.co.uk/2017/02/16/yahoo_forged_cookie_hack_risk/,DoJ,
Project Sauron,7/8/2016,Also known as Strider,"This threat actor compromises targets in the Military, telecommunications, and financial sectors in Belgium, China, Iran, Russia, Sweden, and elsewhere.",,"Russia, Belgium, Sweden, Iran, China, Rwanda",United States,Espionage,"Government, Military",https://securelist.com/analysis/publications/75533/faq-the-projectsauron-apt/,https://www.symantec.com/connect/blogs/strider-cyberespionage-group-turns-eye-sauron-targets,https://arstechnica.com/security/2016/08/researchers-crack-open-unusually-advanced-malware-that-hid-for-5-years/,Kaspersky,Strider
Compromise of entities involved in the China-Philippines territorial dispute,7/12/2016,,"A threat actor targeted the Department of Justice of the Philippines, the Asia-Pacific Economic Cooperation (APEC), and a major international law firm representing one of the parties in the dispute over the Scarborough Shoal.",,Philippines,China,Political Espionage,"Government, Private sector",https://www.f-secure.com/documents/996508/1030745/nanhaishu_whitepaper.pdf,,,F-secure,APT 40
Operation Sphinx,7/21/2016,,This threat actor targets government and military organizations in Egypt and Israel for espionage purposes.,,"Egypt, Israel",Unknown,Military Espionage,"Government, Military",https://ti.360.com/upload/report/file/rmsxden20160721.pdf,,,N/A,
"Compromise of computer networks associated with diplomats, journalists, and others in South Korea",8/1/2016,,"Threat actors targeted the email accounts of South Korean diplomats, journalists, and security officials.",Denouncement   http://english.yonhapnews.co.kr/news/2016/08/01/0200000000AEN20160801001152315.html,South Korea,Korea (Democratic People's Republic of),Espionage,Government,http://english.yonhapnews.co.kr/news/2016/08/01/0200000000AEN20160801001152315.html,http://www.theregister.co.uk/2016/08/03/norks_target_90_seoul_officials_journalists_pop_53_email_accounts/,,South Korean government,
Compromise of a mobile app used by Ukrainian artillery units,12/22/2016,Believed to be the work of APT 28,A threat actor compromised a mobile app that Ukrainian artillery units used to assist with targeting. The compromise of the app is believed to have allowed the threat actor to monitor the movements of Ukrainian units in order to facilitate military targeting by Russian-backed rebels in eastern Ukraine.,Denial   http://www.mil.gov.ua/news/2017/01/06/informacziya-po-vtrati-u-zs-ukraini-80-gaubicz-d-30%E2%80%9D-ne-vidpovidae-dijsnosti/,Ukraine Armed Forces,Russian Federation,Military Espionage,Military,https://www.crowdstrike.com/wp-content/brochures/FancyBearTracksUkrainianArtillery.pdf,,,CrowdStrike,APT 28
APT 16,12/16/2016,,"This threat actor targets and compromises Japanese and Taiwanese entities in the finance, tech, media, and government sectors.",,"Japan, Taiwan",China,Espionage,Private sector,https://www.fireeye.com/blog/threat-research/2015/12/the_eps_awakens.html,https://www.fireeye.com/blog/threat-research/2015/12/the-eps-awakens-part-two.html,,FireEye,APT 16
Targeting of Kazakh dissidents,8/2/2016,,Threat actors targeted lawyers and exiled Kazakh dissidents for the purpose of espionage.,,Kazakh dissidents,Kazakhstan,Civil Espionage,Civil society,http://www.reuters.com/article/us-kazakhstan-cyber-idUSKCN10D1N2,https://www.eff.org/files/2016/08/03/i-got-a-letter-from-the-government.pdf,,EFF,
Attempted compromise of U.S. think tanks,11/9/2016,Believed to be the work of the Dukes,A threat actor attempted to compromise the networks of U.S. think tanks associated with international affairs and national security. The attempts occurred shortly after the U.S. election in 2016.,,"Council on Foreign Relations, Brookings Institution",Russian Federation,Political Espionage,Civil society,https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/,,,Volexity,APT 29
Unnamed Actor,4/13/2016,,"This threat actor compromises civil society groups the Chinese Communist Party views as hostile to its interests, such as Tibetan, Uyghur, Hong Kong, and Taiwanese activist. The threat actor also targeted the Myanmar electoral commission.",,"China, Hong Kong, Taiwan, Myanmar",China,Civil Espionage,"Civil society, Government",https://www.arbornetworks.com/blog/asert/four-element-sword-engagement/,https://citizenlab.org/2016/04/between-hong-kong-and-burma/,,"ASERT, CitizenLab",
Prince of Persia,5/2/2016,,"This threat actor targets governments and businesses of multiple countries, including the United States, Israel, and Denmark.",,"Israel, United States, Denmark, Iran, United Kingdom, Canada, France, Germany, Russia, China, Syria, Saudi Arabia, Sweden, Italy, Bahrain",Iran (Islamic Republic of),Espionage,"Government, Private sector",http://researchcenter.paloaltonetworks.com/2016/05/prince-of-persia-infy-malware-active-in-decade-of-targeted-attacks/,https://fe-ddis.dk/cfcs/CFCSDocuments/Phishing%20uden%20fangst.pdf,http://researchcenter.paloaltonetworks.com/2016/06/unit42-prince-of-persia-game-over/,Palo Alto Networks,
Compromise of Burmese government websites,1/12/2016,,A threat actor compromised Burmese websites in an attempt to compromise visitors to those websites for espionage purposes.,,Myanmar,Unknown,Civil Espionage,"Government, Civil society",https://citizenlab.org/2015/10/targeted-attacks-ngo-burma/,https://www.arbornetworks.com/blog/asert/wp-content/uploads/2016/01/ASERT-Threat-Intelligence-Brief-2015-08-Uncovering-the-Seven-Point-Dagger.pdf,http://researchcenter.paloaltonetworks.com/2015/06/evilgrab-delivered-by-watering-hole-attack-on-president-of-myanmars-website/,N/A,
Warning of impending incident on Russian banking network,12/2/2016,,Russian authorities warned that a foreign intelligence agency was seeking to compromise its banking sector.,,Russia,Unknown,Data destruction,Private sector,http://www.fsb.ru/fsb/press/message/single.htm%21id%3D10438041%40fsbMessage.html,http://www.reuters.com/article/us-russia-cyberattack-banks-idUSKBN13R0NG,,N/A,
Onion Dog,5/20/2016,Possibly linked to Icefog??and the Dark Seoul compromise,"This threat actor targets the South Korean government, transportation, and energy sectors.",,South Korea,Unknown,Espionage,"Government, Private sector",https://ti.360.com/upload/report/file/Operation_OnionDog-20160520-.pdf,http://www.chinadaily.com.cn/china/2016-03/09/content_23794129.htm,http://news.softpedia.com/news/korean-energy-and-transportation-targets-attacked-by-oniondog-apt-501534.shtml,N/A,Lazarus Group
Mofang,6/15/2016,,"This threat actor compromises government and critical infrastructure entities, primarily in Myanmar, for espionage purposes.",,"Myanmar, Canada, United States, Germany, India, South Korea, Singapore",China,Espionage,"Government, Private sector",https://foxitsecurity.files.wordpress.com/2016/06/fox-it_mofang_threatreport_tlp-white.pdf,https://www.wired.com/2016/06/revealed-yet-another-chinese-group-hacking-countrys-economic-bottom-line/,,Fox-IT,
RUAG espionage,5/23/2016,Believed to be the work of the Turla group,A threat actor compromised a Swiss defense contractor.,,Switzerland,Russian Federation,Military Espionage,Private sector,https://www.govcert.admin.ch/blog/22/technical-report-about-the-ruag-espionage-case,https://www.theregister.co.uk/2016/05/24/anatomy_of_a_breach_swiss_cert_publishes_analysis_of_ruag_attack/,,SwissCERT,Turla
Goblin Panda,6/1/2015,,This threat actor targets government agencies and entities in the defense and energy sectors in Southeast Asia with an interest in issues related to tensions in the South China Sea.,,Vietnam,China,Political Espionage,"Government, Private sector",https://www.crowdstrike.com/blog/rhetoric-foreshadows-cyber-activity-in-the-south-china-sea/,https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-august-goblin-panda/,,CrowdStrike,
Gamaredon,4/28/2015,Also known as the Gamaredon Group.,A Russian-linked threat group known as Gamaredon uses custom-developed malware in attacks aimed at Ukraine. The group has been active since at least 2013.,,Ukraine,Russian Federation,Espionage,Government,https://www.securityweek.com/gamaredon-group-uses-custom-malware-ukraine-attacks,https://unit42.paloaltonetworks.com/unit-42-title-gamaredon-group-toolset-evolution/,https://www.lookingglasscyber.com/wp-content/uploads/2015/08/Operation_Armageddon_Final.pdf,"SBU, LookingGlass, Palo Alto Networks",Gameredon
Duqu 2.0,6/10/2015,Associated with Duqu. Believed to have been the tool used to compromise Kaspersky Labs.,"A threat actor, using a tool dubbed Duqu 2.0, targeted individuals and companies linked to the P5+1 (the five permanent member states of the UN Security Council, plus Germany), which was conducting negotiations on Iran's nuclear program.",,Iran,Israel,Political Espionage,"Government, Private sector",https://securelist.com/blog/research/70504/the-mystery-of-duqu-2-0-a-sophisticated-cyberespionage-actor-returns/,https://securelist.com/files/2015/06/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,http://www.wsj.com/articles/spy-virus-linked-to-israel-targeted-hotels-used-for-iran-nuclear-talks-1433937601,Kaspersky,Duqu 2.0
Chafer,12/7/2015,Believed to use similar tools and infrastructure as OilRig,"This threat actor targets organizations in the aerospace, technology, telecommunications, and engineering sectors for the purpose of espionage.",,"Saudi Arabia, United Arab Emirates, Israel, Jordan, Turkey",Iran (Islamic Republic of),Espionage,Private sector,https://www.symantec.com/blogs/threat-intelligence/chafer-latest-attacks-reveal-heightened-ambitions,https://www.symantec.com/connect/blogs/iran-based-attackers-use-back-door-threats-spy-middle-eastern-targets,,Symantec,APT 34?
APT 3,6/23/2015,"Also known as UPS, Gothic Panda, Buckeye, and Boyusec","This threat actor targets and compromises entities in the defense, construction, technology, and transportation sectors. Up until 2015, it was primarily focused on U.S. and UK entities, but it shifted to Hong Kong???based targets afterward.??The U.S. Department of Justice indicted three members of this threat actor group in November 2017 for compromising the networks of three U.S. companies.",,"United States, United Kingdom, Hong Kong",China,Espionage,Private sector,https://www.fireeye.com/blog/threat-research/2015/06/operation-clandestine-wolf-adobe-flash-zero-day.html,http://www.secureworks.com/resources/blog/research/threat-group-0110-targets-manufacturing-and-financial-organizations-via-phishing/,http://www.symantec.com/connect/blogs/buckeye-cyberespionage-group-shifts-gaze-us-hong-kong,"FireEye, Symantec, Secureworks",APT 3
Emissary Panda,8/5/2015,"Also known as TG-3390, APT 27, and TEMP.Hippo.??Believed to have been responsible for the compromise of a Mongolian data center.","This threat actor compromises web pages to lure targets for espionage purposes. It focuses on the aerospace, automotive, technology, and energy sectors, primarily in the United States and United Kingdom.",,"United States, United Kingdom, France",China,Espionage,"Government, Private sector",https://www.secureworks.com/research/threat-group-3390-targets-organizations-for-cyberespionage,https://www.erai.com/CustomUploads/ca/wp/2015_12_wp_operation_iron_tiger.pdf,https://www.threatconnect.com/blog/threatconnect-discovers-chinese-apt-activity-in-europe/,"Secureworks, TrendMicro, ThreatConnect",APT 27
"Targeting of Ugandan political opposition members, journalists, and activists",10/16/2015,The government of Uganda,"The government of Uganda, under the Yoweri Museveni administration, used FinFisher, an advanced spyware developed by Gamma Group, to quell political unrest that resulted from allegations of corruption and police brutality after the 2011 general election.",,Uganda,Uganda,Civil Espionage,Civil society,https://www.theverge.com/2015/10/16/9549151/uganda-finfisher-surveillance-spyware-privacy-international,https://privacyinternational.org/sites/default/files/2017-12/Uganda_Report_1.pdf,,Privacy International,
Compromise of TV5 Monde,4/9/2015,Suspected to be the work of APT 28,"In May 2015, threat actors compromised French television network TV5 Monde, disrupting broadcasts for three hours and gaining access to the network???s social media accounts. A group allegedly allied with the self-declared Islamic State and calling itself the Cyber Caliphate initially claimed responsibility for the incident. However, later investigations revealed links to Russian hacking group APT 28.

TV5 Monde is an example of a ???false flag??? operation, whereby a threat actor tries to mask its identity by leaving clues or attributes that would cause the victim to pin the blame on someone else. The threat actors behind TV5 Monde were successful enough in their flagging to lead French authorities to believe the incident was a terrorist attack. It is unknown why Russia would have conducted a false flag operation in France disguising itself as the Islamic State.??

In October 2018, the UK government announced that this incident was the work of Russian military intelligence.",Denouncement   http://www.thelocal.fr/20150409/frances-tv5-monde-isis-cyberattack-charlie-hebdo,TV5 Monde,Russian Federation,Defacement,Private sector,https://www.theguardian.com/world/2015/apr/09/french-tv-network-tv5monde-hijacked-by-pro-isis-hackers,http://www.lexpress.fr/actualite/medias/piratage-de-tv5-monde-la-piste-russe_1687673.html,https://www.crowdstrike.com/blog/bears-midst-intrusion-democratic-national-committee/,"ANSSI, FireEye",APT 28
Targeting of the government of Thailand,11/24/2015,Believed to be the work of??APT 17,"A threat actor used a tool called Bookworm to compromise government agencies in Thailand, for the purpose of espionage.",,Thailand,China,Government Espionage,Government,https://researchcenter.paloaltonetworks.com/2015/11/attack-campaign-on-the-government-of-thailand-delivers-bookworm-trojan/,https://researchcenter.paloaltonetworks.com/2015/11/bookworm-trojan-a-model-of-modular-architecture/,https://401trg.com/burning-umbrella/,401TRG,APT 17
APT 17,5/14/2015,Also known as Deputy Dog and Axiom.??Believed to be associated with APT 17,"This threat actor targets U.S. government entities, the defense industrial base, law firms, information technology companies, resource extraction companies, and nongovernmental organizations.??Ethical hacking group Intrusion Truth doxed three members of this threat actor: two hackers plus the head of four Chinese companies who is also believed to be an officer of the Chinese Ministry of State Security (MSS). The hackers are believed to be operating as contractors for the Jinan bureau of the Chinese MSS, where they carry out on-demand hacking operations.",,United States,China,Espionage,"Government, Private sector, Civil society",https://www2.fireeye.com/rs/fireye/images/APT17_Report.pdf,,,FireEye,APT 17
Rocket Kitten,11/9/2015,Possibly??linked to??Saffron Rose,"This threat actor targets defense contractors and academic institutions in Israel, European government agencies, and civil society actors. It seeks out material related to diplomacy, defense, security, journalism, and human rights for espionage purposes.",,"Saudi Arabia, Israel, Yemen, Venezuela, Iraq, United Kingdom, Afghanistan, Kuwait, Egypt, United Arab Emirates, Turkey, Syria, Iran, Canada, Jordan",Iran (Islamic Republic of),Espionage,"Government, Military",http://blog.checkpoint.com/wp-content/uploads/2015/11/rocket-kitten-report.pdf,https://www.trendmicro.com/cloud-content/us/pdfs/security-intelligence/white-papers/wp-the-spy-kittens-are-back.pdf,https://citizenlab.org/2015/08/iran_two_factor_phishing/,"Checkpoint, CitizenLab, TrendMicro, ClearSky",Saffron Rose?
Compromise of a power grid in eastern Ukraine,12/23/2015,Possible link to Sandworm.,"In December 2015, a threat actor compromised power distribution companies in western Ukraine, causing a power outage for more than 230,000 residents. Several control centers were targeted by suspected Russian hackers, who were able to siphon operator credentials and gain access to the power grid for the Ivano-Frankivsk region. The power outage lasted as long as six hours in some areas. During the outage, threat actors also flooded customer services phone lines with calls to prevent customers from reporting the incident.

The compromise of the Ukrainian power grid was an escalation from previous disruptive incidents and the first confirmed cyber operation to successfully take down energy infrastructure. The incident set an ominous precedent for the security of power grids around the world. The electricity distribution system in Ukraine was again targeted in 2016.",Denouncement   http://www.reuters.com/article/us-ukraine-cybersecurity-idUSKCN0VL18E,Prikarpattiaoblenergo Electric Company,Russian Federation,Sabotage,Private sector,https://ics.sans.org/blog/2016/01/09/confirmation-of-a-coordinated-attack-on-the-ukrainian-power-grid,https://ics.sans.org/media/E-ISAC_SANS_Ukraine_DUC_5.pdf,https://www.wired.com/2016/03/inside-cunning-unprecedented-hack-ukraines-power-grid/,SBU,BlackEnergy
APT 30,4/12/2015,"Also known as Naikon, PLA Unit 78020, Lotus Panda. Possibly responsible for the JadeRAT tool.??",This threat actor uses spear-phishing techniques to target government and private sector agencies in the South China Sea region.,,"India, Thailand, South Korea, Saudi Arabia, Malaysia, United States, Vietnam, Cambodia, Indonesia, Myanmar, China, Laos, Singapore, Phillipines",China,Espionage,"Government, Private sector",https://www2.fireeye.com/rs/fireye/images/rpt-apt30.pdf,https://securelist.com/analysis/publications/69953/the-naikon-apt/,http://cdn2.hubspot.net/hubfs/454298/Project_CAMERASHY_ThreatConnect_Copyright_2015.pdf?t=1443030820943&submissionGuid=81f1c199-859f-41e9-955b-2eec13777720,"FireEye, ThreatConnect",APT 30
Compromise of Anthem,2/6/2015,Believed to be the work of Deep Panda,"A threat actor compromised a U.S. health insurance company, resulting in compromised personal data on eighty million customers.",Criminal charges   https://www.justice.gov/opa/press-release/file/1161466/download,Anthem,China,Misc Espionage,Private sector,http://money.cnn.com/2015/02/04/technology/anthem-insurance-hack-data-security/,http://www.nytimes.com/2015/02/05/business/hackers-breached-data-of-millions-insurer-says.html,http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/,"CrowdStrike, RSA Security, ThreatConnect",APT 19
Ocean Lotus,5/31/2015,Also known as APT 32,"This threat actor,??known to use watering-hole attacks to compromise victims, targets organizations of interest to the Vietnamese government for espionage purposes. Victims have included human rights organizations, research institutes and maritime construction firms in China, and media organizations. Also believed??to have been responsible for disclosing confidential Filipino??government documents.??",,"China, United States, Philippines, Germany, Vietnam, Association of Southeast Asian Nations, Cambodia, Laos",Vietnam,Espionage,"Government, Private sector, Civil society",https://ti.360.com/upload/report/file/OceanLotus_Report-en-6.2.2.pdf,https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html,https://www.wired.com/2017/05/close-look-notorious-apt32-hacking-group-action/,"FireEye, Cybereason Nocturnus, Volexity, RSA Security",APT 32
Targeting of Ukrainian law enforcement and government officials,3/13/2015,,A threat actor attempted to compromise Ukrainian officials in government and law enforcement for espionage purposes. Ukrainian intelligence claims this was done in support of Russian-backed military activities in eastern Ukraine.,Denouncement   http://www.sbu.gov.ua/sbu/control/en/publish/article?art_id=138949&amp;cat_id=35317,Ukraine,Russian Federation,Political Espionage,"Military, Government",https://web.archive.org/web/20150319104801/http://www.sbu.gov.ua/sbu/control/en/publish/article?art_id=138949&cat_id=35317,,,SSU,
Compromise of the Seoul subway system,10/5/2015,Believed to be the work of the same actors behind Dark Seoul??and possibly linked to Onion Dog,A threat actor compromised networks associated with Seoul's subway system.,Denouncement   http://www.koreaherald.com/view.php?ud=20151005001125,Seoul Subway System,Korea (Democratic People's Republic of),Infrastructure Espionage,Government,http://www.koreaherald.com/view.php?ud=20151005001125,,,NIS,Lazarus Group
